DATETIME,DELTA,THETA,LOW ALPHA,HIGH ALPHA,LOW BETA,HIGH BETA,LOW GAMMA,HIGH GAMMA,ATTENTION,MEDITATION
Wed Dec 12 2018 18:09:30 GMT+0530 (India Standard Time),7286,23891,3066,2623,10657,5164,3747,2261,78,26
Wed Dec 12 2018 18:09:31 GMT+0530 (India Standard Time),13576,24238,3832,8330,22298,6724,2805,782,90,27
Wed Dec 12 2018 18:09:32 GMT+0530 (India Standard Time),10239,12955,5191,11084,9964,10175,2600,2116,100,24
Wed Dec 12 2018 18:09:35 GMT+0530 (India Standard Time),2851,8773,2222,25135,18162,10994,4974,1226,100,64
Wed Dec 12 2018 18:09:36 GMT+0530 (India Standard Time),199183,161884,33305,40648,34787,7219,11752,2361,69,63
Wed Dec 12 2018 18:09:37 GMT+0530 (India Standard Time),37977,56547,26374,4457,15597,9260,1846,1574,66,63
Wed Dec 12 2018 18:09:38 GMT+0530 (India Standard Time),53934,70331,23228,14781,26596,9109,7434,2189,57,53
Wed Dec 12 2018 18:09:39 GMT+0530 (India Standard Time),86886,41768,30406,15472,23574,7995,6176,2850,43,51
Wed Dec 12 2018 18:09:40 GMT+0530 (India Standard Time),127770,64989,21840,7989,10125,14023,20652,3228,63,51
Wed Dec 12 2018 18:09:41 GMT+0530 (India Standard Time),20261,20138,8686,4597,7548,11847,7739,2023,78,47
Wed Dec 12 2018 18:09:42 GMT+0530 (India Standard Time),18883,25028,23837,21344,12702,12362,5554,1953,88,57
Wed Dec 12 2018 18:09:44 GMT+0530 (India Standard Time),17908,10811,20618,11109,13711,4701,7595,3594,83,69
Wed Dec 12 2018 18:09:45 GMT+0530 (India Standard Time),8454,23360,4850,10186,6765,16404,6050,1353,87,69
Wed Dec 12 2018 18:09:46 GMT+0530 (India Standard Time),15805,8325,11665,12077,14175,10598,2953,1935,91,64
Wed Dec 12 2018 18:09:47 GMT+0530 (India Standard Time),51650,15372,1664,5666,2498,1285,650,355,84,61
Wed Dec 12 2018 18:09:48 GMT+0530 (India Standard Time),24950,38086,8247,19616,26131,6273,3326,1301,80,48
Wed Dec 12 2018 18:09:49 GMT+0530 (India Standard Time),65661,80425,22937,14187,18769,25118,2397,1186,69,47
Wed Dec 12 2018 18:09:51 GMT+0530 (India Standard Time),783001,317461,140776,71244,128862,180070,36648,25950,74,43
Wed Dec 12 2018 18:09:52 GMT+0530 (India Standard Time),825464,191765,199337,157456,88551,63511,129002,125940,75,54
Wed Dec 12 2018 18:09:54 GMT+0530 (India Standard Time),109331,21897,4926,9353,5243,5827,697,214,75,54
Wed Dec 12 2018 18:09:55 GMT+0530 (India Standard Time),1929608,68522,27274,10022,8796,10572,1429,668,75,54
Wed Dec 12 2018 18:09:56 GMT+0530 (India Standard Time),77738,105024,56309,21937,5469,4630,1922,721,50,64
