DATETIME,DELTA,THETA,LOW ALPHA,HIGH ALPHA,LOW BETA,HIGH BETA,LOW GAMMA,HIGH GAMMA,ATTENTION,MEDITATION
Wed Dec 12 2018 18:13:05 GMT+0530 (India Standard Time),12189,33655,7805,1567,2407,3085,1749,285,53,84
Wed Dec 12 2018 18:13:06 GMT+0530 (India Standard Time),52574,9631,3166,6378,2430,4546,1624,1811,63,80
Wed Dec 12 2018 18:13:07 GMT+0530 (India Standard Time),191909,24897,9135,2242,2366,4785,3975,976,66,67
Wed Dec 12 2018 18:13:08 GMT+0530 (India Standard Time),143700,17327,7106,12750,4273,12697,5126,978,75,51
Wed Dec 12 2018 18:13:09 GMT+0530 (India Standard Time),1530381,55076,52051,30974,30491,23741,3650,2499,84,64
Wed Dec 12 2018 18:13:10 GMT+0530 (India Standard Time),43108,29827,15503,11185,7612,8595,3815,3067,80,64
Wed Dec 12 2018 18:13:11 GMT+0530 (India Standard Time),66514,12397,14621,1758,1108,3145,1669,688,77,77
Wed Dec 12 2018 18:13:12 GMT+0530 (India Standard Time),342077,28896,14856,7202,22993,11363,8203,3608,74,70
Wed Dec 12 2018 18:13:14 GMT+0530 (India Standard Time),9541,4601,5859,2447,1061,1323,624,262,50,67
Wed Dec 12 2018 18:13:15 GMT+0530 (India Standard Time),12365,35624,8511,10686,11358,4620,2694,2706,48,57
Wed Dec 12 2018 18:13:17 GMT+0530 (India Standard Time),446147,34433,96135,43833,95302,138834,9974,17941,78,66
Wed Dec 12 2018 18:13:19 GMT+0530 (India Standard Time),470966,64190,2604,19821,10016,10611,11133,3296,78,47
Wed Dec 12 2018 18:13:20 GMT+0530 (India Standard Time),377869,18943,2365,1815,9547,5174,6414,1080,87,34
Wed Dec 12 2018 18:13:21 GMT+0530 (India Standard Time),12861,13557,4967,8553,10093,7791,4896,4345,88,34
Wed Dec 12 2018 18:13:22 GMT+0530 (India Standard Time),54270,46738,1250,5373,8927,11900,1520,2755,75,13
Wed Dec 12 2018 18:13:24 GMT+0530 (India Standard Time),53948,37755,3698,3337,1373,2396,1537,363,66,20
Wed Dec 12 2018 18:13:25 GMT+0530 (India Standard Time),51746,41762,4189,19284,20224,21366,14560,5885,66,14
Wed Dec 12 2018 18:13:26 GMT+0530 (India Standard Time),11754,9726,5551,7135,8882,6077,3365,2004,69,35
Wed Dec 12 2018 18:13:27 GMT+0530 (India Standard Time),73073,34308,16186,12130,6403,19860,3602,3035,70,40
Wed Dec 12 2018 18:13:28 GMT+0530 (India Standard Time),6614,16226,4991,1770,2467,2719,781,527,80,48
Wed Dec 12 2018 18:13:29 GMT+0530 (India Standard Time),42207,24163,14269,10099,8808,15249,4120,1751,80,54
Wed Dec 12 2018 18:13:30 GMT+0530 (India Standard Time),6744,24539,2803,11274,5950,3115,3713,2374,66,51
Wed Dec 12 2018 18:13:31 GMT+0530 (India Standard Time),13547,7714,19330,19177,9987,6118,2130,1068,56,67
Wed Dec 12 2018 18:13:35 GMT+0530 (India Standard Time),9959,28474,13545,5174,7056,5295,2038,1471,51,48
Wed Dec 12 2018 18:13:36 GMT+0530 (India Standard Time),2431,16263,6987,12630,16640,8770,2170,1466,56,43
Wed Dec 12 2018 18:13:38 GMT+0530 (India Standard Time),14783,37713,8177,4129,7249,4734,4298,1380,61,53
Wed Dec 12 2018 18:13:39 GMT+0530 (India Standard Time),8385,22606,17931,5705,11171,3638,3948,4899,56,54
Wed Dec 12 2018 18:13:40 GMT+0530 (India Standard Time),9181,12601,3726,5115,4306,6466,3054,2231,57,53
Wed Dec 12 2018 18:13:41 GMT+0530 (India Standard Time),16390,3515,10010,10942,7533,5682,1267,2583,61,61
Wed Dec 12 2018 18:13:42 GMT+0530 (India Standard Time),45775,42327,2515,18765,5561,5589,3332,1109,60,67
Wed Dec 12 2018 18:13:44 GMT+0530 (India Standard Time),24496,7114,31561,22774,7302,8539,2775,884,43,88
Wed Dec 12 2018 18:13:45 GMT+0530 (India Standard Time),6836,26231,8187,7010,3722,3231,3989,915,29,75
Wed Dec 12 2018 18:13:46 GMT+0530 (India Standard Time),46729,7015,32426,8479,8105,10717,5147,815,41,91
Wed Dec 12 2018 18:13:47 GMT+0530 (India Standard Time),9886,8682,15027,5912,9773,3459,3471,1491,53,97
Wed Dec 12 2018 18:13:48 GMT+0530 (India Standard Time),59617,39783,3658,13329,26206,14071,5788,2001,60,70
Wed Dec 12 2018 18:13:49 GMT+0530 (India Standard Time),42255,51268,7976,4743,15062,5594,6021,906,61,61
Wed Dec 12 2018 18:13:50 GMT+0530 (India Standard Time),45841,9717,3234,14722,3812,3478,1404,579,54,56
Wed Dec 12 2018 18:13:51 GMT+0530 (India Standard Time),16859,14439,1591,2613,1016,2914,339,709,56,40
Wed Dec 12 2018 18:13:52 GMT+0530 (India Standard Time),716154,304624,762,30164,41976,19037,7635,3228,40,27
Wed Dec 12 2018 18:13:54 GMT+0530 (India Standard Time),1243333,128937,7606,8143,46163,29229,10643,15133,50,16
Wed Dec 12 2018 18:13:55 GMT+0530 (India Standard Time),1251284,377514,37930,13518,23786,8693,17505,9061,27,8
Wed Dec 12 2018 18:13:56 GMT+0530 (India Standard Time),215541,60673,8646,4330,5519,3660,1355,1505,27,16
Wed Dec 12 2018 18:13:57 GMT+0530 (India Standard Time),1080551,54562,37917,28321,20472,12776,9993,7251,26,16
Wed Dec 12 2018 18:13:58 GMT+0530 (India Standard Time),2131852,429945,19586,16779,27974,53597,4809,12168,20,14
Wed Dec 12 2018 18:13:59 GMT+0530 (India Standard Time),335614,19648,9520,10220,4597,1515,2060,234,26,37
Wed Dec 12 2018 18:14:00 GMT+0530 (India Standard Time),1762342,380823,60333,80888,40573,21436,54391,17199,23,43
Wed Dec 12 2018 18:14:01 GMT+0530 (India Standard Time),1059009,96112,13489,53199,15306,28396,11220,2958,29,38
Wed Dec 12 2018 18:14:02 GMT+0530 (India Standard Time),339750,77917,49732,42851,4379,13884,844,1276,29,38
Wed Dec 12 2018 18:14:04 GMT+0530 (India Standard Time),460257,27079,13185,10009,12977,6979,6655,3041,41,56
Wed Dec 12 2018 18:14:05 GMT+0530 (India Standard Time),1364990,94806,39923,33246,36897,30002,28212,9814,56,60
Wed Dec 12 2018 18:14:06 GMT+0530 (India Standard Time),1036898,97596,22754,23675,39025,35175,23081,4931,61,53
Wed Dec 12 2018 18:14:07 GMT+0530 (India Standard Time),571521,80958,45005,17427,12119,11150,10136,5156,57,56
Wed Dec 12 2018 18:14:08 GMT+0530 (India Standard Time),1422699,45300,11716,7332,15652,11806,5988,16559,61,50
Wed Dec 12 2018 18:14:09 GMT+0530 (India Standard Time),112635,40168,7818,1725,2134,5834,1964,1812,56,40
Wed Dec 12 2018 18:14:10 GMT+0530 (India Standard Time),3092547,38137,71584,20319,68875,48106,7756,3480,61,48
Wed Dec 12 2018 18:14:11 GMT+0530 (India Standard Time),1503952,49068,47900,38749,13038,17855,20894,2062,66,54
Wed Dec 12 2018 18:14:12 GMT+0530 (India Standard Time),892889,73871,9473,20921,15656,5147,2442,993,53,56
Wed Dec 12 2018 18:14:14 GMT+0530 (India Standard Time),1616156,71639,95985,55254,61921,36883,5287,1937,47,64
Wed Dec 12 2018 18:14:15 GMT+0530 (India Standard Time),2022572,75843,38583,15935,8508,5221,2394,1901,35,57
Wed Dec 12 2018 18:14:16 GMT+0530 (India Standard Time),271643,55671,6796,7393,12590,5794,2054,1382,38,51
Wed Dec 12 2018 18:14:17 GMT+0530 (India Standard Time),436350,187268,64373,29794,68388,20428,8242,5177,30,54
Wed Dec 12 2018 18:14:18 GMT+0530 (India Standard Time),402101,46516,6066,8887,4822,3426,2165,1375,17,40
Wed Dec 12 2018 18:14:19 GMT+0530 (India Standard Time),45374,21359,10168,16371,12302,10363,14004,4343,38,38
Wed Dec 12 2018 18:14:21 GMT+0530 (India Standard Time),178524,23505,1903,7854,2408,5334,5440,1644,48,40
Wed Dec 12 2018 18:14:22 GMT+0530 (India Standard Time),52918,19202,16380,4510,8651,10633,14537,5988,66,48
Wed Dec 12 2018 18:14:23 GMT+0530 (India Standard Time),633526,21127,12627,5943,11217,6231,4154,4444,63,44
Wed Dec 12 2018 18:14:24 GMT+0530 (India Standard Time),47273,34691,15125,21421,9023,7897,27479,2373,64,60
Wed Dec 12 2018 18:14:25 GMT+0530 (India Standard Time),56720,26602,1968,5948,4980,3999,2360,1574,61,56
Wed Dec 12 2018 18:14:26 GMT+0530 (India Standard Time),52346,71341,22169,11572,11883,13572,9487,10407,54,53
Wed Dec 12 2018 18:14:28 GMT+0530 (India Standard Time),40482,117146,42487,43152,10255,5866,3000,935,34,61
Wed Dec 12 2018 18:14:29 GMT+0530 (India Standard Time),129373,76573,12839,1317,19802,8400,2254,1432,29,54
Wed Dec 12 2018 18:14:31 GMT+0530 (India Standard Time),1641570,195441,7456,50179,20531,18090,17377,7390,16,27
Wed Dec 12 2018 18:14:32 GMT+0530 (India Standard Time),1563082,132176,14112,9707,13984,16633,15835,5144,30,11
Wed Dec 12 2018 18:14:34 GMT+0530 (India Standard Time),235788,92933,46777,17284,29802,16450,19127,8758,38,27
Wed Dec 12 2018 18:14:35 GMT+0530 (India Standard Time),296644,43881,3311,9337,4895,3369,6239,857,38,27
Wed Dec 12 2018 18:14:36 GMT+0530 (India Standard Time),14080,36165,6421,8520,9206,17108,2955,5227,50,35
Wed Dec 12 2018 18:14:37 GMT+0530 (India Standard Time),24719,41165,8289,7287,8834,3691,6470,3147,48,37
Wed Dec 12 2018 18:14:38 GMT+0530 (India Standard Time),126067,14338,516,3362,5688,1096,2230,817,41,26
Wed Dec 12 2018 18:14:40 GMT+0530 (India Standard Time),91259,22718,4089,9560,2428,1426,1752,843,27,40
Wed Dec 12 2018 18:14:41 GMT+0530 (India Standard Time),142580,26123,17247,14683,15489,19441,4019,1070,47,47
Wed Dec 12 2018 18:14:42 GMT+0530 (India Standard Time),13113,17765,9791,21394,1947,7488,2867,1147,56,67
Wed Dec 12 2018 18:14:43 GMT+0530 (India Standard Time),2373,12482,11618,9985,3531,6803,5652,1665,57,81
Wed Dec 12 2018 18:14:44 GMT+0530 (India Standard Time),310631,26502,1238,11139,14074,5558,10989,4656,70,74
Wed Dec 12 2018 18:14:45 GMT+0530 (India Standard Time),428348,488138,16556,76405,36405,44973,78762,23033,54,57
Wed Dec 12 2018 18:14:46 GMT+0530 (India Standard Time),314360,20684,5295,3887,1989,779,863,407,35,44
Wed Dec 12 2018 18:14:47 GMT+0530 (India Standard Time),244874,18887,2363,2333,5697,3907,3895,816,35,24
Wed Dec 12 2018 18:14:49 GMT+0530 (India Standard Time),58951,8116,2221,1021,1348,577,309,77,40,41
Wed Dec 12 2018 18:14:50 GMT+0530 (India Standard Time),152288,113672,44383,9889,26481,10380,3078,1563,48,40
Wed Dec 12 2018 18:14:51 GMT+0530 (India Standard Time),8208,28591,26768,8866,6008,9829,5492,2388,47,60
Wed Dec 12 2018 18:14:52 GMT+0530 (India Standard Time),14555,19639,6488,6008,6701,8021,4430,2844,44,53
Wed Dec 12 2018 18:14:54 GMT+0530 (India Standard Time),20361,46467,19193,13255,8236,5294,3626,2385,64,57
Wed Dec 12 2018 18:14:55 GMT+0530 (India Standard Time),104192,7558,11410,2213,5896,2771,2224,648,63,57
Wed Dec 12 2018 18:14:56 GMT+0530 (India Standard Time),97609,50451,31213,8875,16479,9298,7683,2709,54,61
Wed Dec 12 2018 18:14:58 GMT+0530 (India Standard Time),247012,22917,6229,16290,7532,4515,1917,770,41,63
Wed Dec 12 2018 18:14:59 GMT+0530 (India Standard Time),119727,6104,6332,3764,7670,6075,2285,1300,51,56
Wed Dec 12 2018 18:15:00 GMT+0530 (India Standard Time),45776,75612,30276,10708,48664,14315,6501,5828,53,48
Wed Dec 12 2018 18:15:01 GMT+0530 (India Standard Time),56966,73803,18422,4308,7814,14300,8358,5906,61,47
Wed Dec 12 2018 18:15:02 GMT+0530 (India Standard Time),15923,18628,9868,11309,6157,7234,7658,3515,69,47
Wed Dec 12 2018 18:15:04 GMT+0530 (India Standard Time),34277,85188,10560,7747,8633,9580,17451,2735,50,29
Wed Dec 12 2018 18:15:05 GMT+0530 (India Standard Time),18361,18366,6064,7676,11515,8314,6860,2604,56,35
Wed Dec 12 2018 18:15:06 GMT+0530 (India Standard Time),29043,4187,5967,3132,1106,3817,537,491,61,40
Wed Dec 12 2018 18:15:07 GMT+0530 (India Standard Time),87350,30913,35899,11725,7898,8895,6245,644,66,57
Wed Dec 12 2018 18:15:08 GMT+0530 (India Standard Time),5749,13094,7428,19098,11450,8364,2344,2684,77,75
Wed Dec 12 2018 18:15:09 GMT+0530 (India Standard Time),72537,69034,46079,31040,13107,10444,3685,2221,61,84
Wed Dec 12 2018 18:15:10 GMT+0530 (India Standard Time),6996,21411,11298,13843,20224,7557,3387,1339,54,77
Wed Dec 12 2018 18:15:11 GMT+0530 (India Standard Time),86060,69416,12468,7710,35752,6591,2513,3308,50,54
Wed Dec 12 2018 18:15:12 GMT+0530 (India Standard Time),154970,25896,3563,4431,9103,2142,1104,746,37,41
Wed Dec 12 2018 18:15:14 GMT+0530 (India Standard Time),5104,17661,13898,20661,15245,6981,3130,2450,41,40
Wed Dec 12 2018 18:15:15 GMT+0530 (India Standard Time),1329089,43047,7388,12081,8385,11989,3387,4337,51,47
Wed Dec 12 2018 18:15:16 GMT+0530 (India Standard Time),70460,44370,20249,9359,10398,13981,5690,789,63,54
Wed Dec 12 2018 18:15:17 GMT+0530 (India Standard Time),75839,16950,29913,50363,20699,11369,4802,6843,61,70
Wed Dec 12 2018 18:15:18 GMT+0530 (India Standard Time),169882,105692,76183,8720,17982,16956,7704,1466,56,66
Wed Dec 12 2018 18:15:19 GMT+0530 (India Standard Time),53742,16449,1461,1741,5816,3649,1064,1066,57,54
Wed Dec 12 2018 18:15:20 GMT+0530 (India Standard Time),13314,56670,11072,3339,11190,6243,5244,1048,50,47
Wed Dec 12 2018 18:15:22 GMT+0530 (India Standard Time),760104,59866,7137,22734,17918,13822,12036,2301,50,40
Wed Dec 12 2018 18:15:24 GMT+0530 (India Standard Time),82839,50009,12329,7332,12054,9043,5746,2098,54,66
Wed Dec 12 2018 18:15:25 GMT+0530 (India Standard Time),83537,34419,12391,2413,6134,1878,2378,1081,48,44
Wed Dec 12 2018 18:15:26 GMT+0530 (India Standard Time),58758,25968,40707,27472,14520,8162,5839,1747,41,64
Wed Dec 12 2018 18:15:27 GMT+0530 (India Standard Time),136692,22066,56450,7506,24618,9256,2217,2630,35,69
Wed Dec 12 2018 18:15:28 GMT+0530 (India Standard Time),18079,26916,47535,7949,11473,11030,5815,2851,35,87
Wed Dec 12 2018 18:15:29 GMT+0530 (India Standard Time),94865,16240,17474,2801,5830,3112,1214,674,44,94
Wed Dec 12 2018 18:15:30 GMT+0530 (India Standard Time),63286,90858,13156,13334,13277,15725,15381,4050,48,70
Wed Dec 12 2018 18:15:31 GMT+0530 (India Standard Time),116852,6291,5088,17314,8078,3124,2395,565,48,70
Wed Dec 12 2018 18:15:32 GMT+0530 (India Standard Time),25393,89528,22682,7953,17457,6257,7113,3089,38,54
Wed Dec 12 2018 18:15:35 GMT+0530 (India Standard Time),23204,17387,23684,16827,13053,21258,9870,1828,53,57
Wed Dec 12 2018 18:15:37 GMT+0530 (India Standard Time),140372,160668,27614,12240,25341,14199,4704,2190,51,56
Wed Dec 12 2018 18:15:38 GMT+0530 (India Standard Time),30681,55342,30213,11790,6277,23876,4434,3270,63,50
Wed Dec 12 2018 18:15:39 GMT+0530 (India Standard Time),54790,10037,1437,5806,3169,6846,1621,620,63,41
Wed Dec 12 2018 18:15:40 GMT+0530 (India Standard Time),53021,44798,39518,19880,14538,14535,5605,2819,66,48
Wed Dec 12 2018 18:15:41 GMT+0530 (India Standard Time),113835,124673,55347,39514,36029,14013,3710,2271,66,60
Wed Dec 12 2018 18:15:42 GMT+0530 (India Standard Time),135903,9687,29266,6235,2415,3736,3429,704,53,78
Wed Dec 12 2018 18:15:45 GMT+0530 (India Standard Time),7272,6659,6634,1871,7404,3278,988,276,50,81
Wed Dec 12 2018 18:15:46 GMT+0530 (India Standard Time),61873,38881,95054,35670,22729,4202,7568,1784,38,80
Wed Dec 12 2018 18:15:47 GMT+0530 (India Standard Time),25079,77332,51659,13572,10784,14172,5607,1178,37,81
Wed Dec 12 2018 18:15:48 GMT+0530 (India Standard Time),335825,79981,40897,13920,17029,17014,6322,2040,38,77
Wed Dec 12 2018 18:15:49 GMT+0530 (India Standard Time),14595,46649,18586,17161,26897,5843,7132,1586,26,75
Wed Dec 12 2018 18:15:50 GMT+0530 (India Standard Time),30863,82367,33148,16220,10125,6616,1534,1518,30,60
Wed Dec 12 2018 18:15:51 GMT+0530 (India Standard Time),10437,36257,9507,5220,42896,17344,5652,3550,47,43
Wed Dec 12 2018 18:15:54 GMT+0530 (India Standard Time),59237,66642,20016,6614,19319,5607,3151,3905,69,34
Wed Dec 12 2018 18:15:55 GMT+0530 (India Standard Time),177986,78003,4663,15662,5552,12562,19999,3610,57,37
Wed Dec 12 2018 18:15:56 GMT+0530 (India Standard Time),69977,78696,12917,20079,11210,17217,18358,9074,56,30
Wed Dec 12 2018 18:15:57 GMT+0530 (India Standard Time),836332,222052,16849,25068,43879,17453,15804,7783,40,21
Wed Dec 12 2018 18:15:58 GMT+0530 (India Standard Time),11078,33669,27196,4347,6825,15039,5216,2746,54,29
Wed Dec 12 2018 18:15:59 GMT+0530 (India Standard Time),16624,18653,13827,10513,18984,7999,10896,6876,60,40
Wed Dec 12 2018 18:16:00 GMT+0530 (India Standard Time),27852,7926,7236,8428,5297,8232,7234,2188,67,50
Wed Dec 12 2018 18:16:01 GMT+0530 (India Standard Time),1433,16645,6175,17937,5920,6217,9042,1816,78,69
Wed Dec 12 2018 18:16:02 GMT+0530 (India Standard Time),15698,16660,16719,13564,4928,6485,5598,6175,74,77
Wed Dec 12 2018 18:16:04 GMT+0530 (India Standard Time),33246,12365,322,4921,6299,3377,2170,2668,43,61
Wed Dec 12 2018 18:16:05 GMT+0530 (India Standard Time),17096,17457,4865,4239,8443,8938,7425,5212,51,48
Wed Dec 12 2018 18:16:06 GMT+0530 (India Standard Time),116265,11503,2738,3283,1601,1355,1233,690,44,35
Wed Dec 12 2018 18:16:07 GMT+0530 (India Standard Time),20929,5050,872,13832,6223,7390,6197,1985,75,43
Wed Dec 12 2018 18:16:08 GMT+0530 (India Standard Time),36619,14814,24012,35153,5115,7402,8393,2310,66,67
Wed Dec 12 2018 18:16:09 GMT+0530 (India Standard Time),22866,23086,7034,13377,5066,9485,1961,1684,63,77
Wed Dec 12 2018 18:16:10 GMT+0530 (India Standard Time),40624,87788,25089,6253,16750,14040,4376,3371,67,74
Wed Dec 12 2018 18:16:11 GMT+0530 (India Standard Time),115555,34106,6613,16197,19085,6438,1884,1317,54,64
Wed Dec 12 2018 18:16:12 GMT+0530 (India Standard Time),93953,23631,1404,732,1589,964,608,172,44,26
Wed Dec 12 2018 18:16:14 GMT+0530 (India Standard Time),24765,20000,22458,4036,12020,3959,2337,1439,30,34
Wed Dec 12 2018 18:16:15 GMT+0530 (India Standard Time),87785,141932,17639,25924,27958,26849,3555,1525,35,26
Wed Dec 12 2018 18:16:16 GMT+0530 (India Standard Time),553460,186004,18345,29074,21971,9112,6839,2479,34,37
Wed Dec 12 2018 18:16:17 GMT+0530 (India Standard Time),19333,8054,16715,2467,3450,2776,1127,502,35,53
Wed Dec 12 2018 18:16:18 GMT+0530 (India Standard Time),41353,23544,97898,19195,18665,9905,5019,1103,30,67
Wed Dec 12 2018 18:16:19 GMT+0530 (India Standard Time),388642,20833,16667,16849,10300,4926,2532,1727,26,87
Wed Dec 12 2018 18:16:20 GMT+0530 (India Standard Time),106886,44854,2585,2297,1557,2075,933,440,27,78
Wed Dec 12 2018 18:16:21 GMT+0530 (India Standard Time),11790,50747,3272,28012,10107,5818,1724,4407,24,64
Wed Dec 12 2018 18:16:22 GMT+0530 (India Standard Time),46733,12101,18352,3268,3078,4143,2259,237,30,54
Wed Dec 12 2018 18:16:24 GMT+0530 (India Standard Time),738640,57941,10444,17091,5529,5704,3559,962,21,57
Wed Dec 12 2018 18:16:26 GMT+0530 (India Standard Time),175777,67210,23914,12146,7773,6047,5562,1106,21,53
Wed Dec 12 2018 18:16:27 GMT+0530 (India Standard Time),12389,8633,13195,9559,7843,4203,2094,1412,40,64
Wed Dec 12 2018 18:16:28 GMT+0530 (India Standard Time),31617,19149,2323,1725,1793,1651,1299,495,40,56
Wed Dec 12 2018 18:16:31 GMT+0530 (India Standard Time),892628,97129,60314,16335,11276,8073,703,543,7,40
Wed Dec 12 2018 18:16:32 GMT+0530 (India Standard Time),41948,16306,20357,2120,2476,973,735,187,1,61
Wed Dec 12 2018 18:16:34 GMT+0530 (India Standard Time),122077,16445,12162,4400,3809,1118,1654,503,1,54
Wed Dec 12 2018 18:16:36 GMT+0530 (India Standard Time),549527,377079,31775,5510,20573,14184,3314,2769,3,26
Wed Dec 12 2018 18:16:37 GMT+0530 (India Standard Time),29299,37293,11574,5275,6772,5443,3372,1695,23,43
Wed Dec 12 2018 18:16:39 GMT+0530 (India Standard Time),18357,29170,28307,25673,4290,4931,1567,840,40,54
Wed Dec 12 2018 18:16:40 GMT+0530 (India Standard Time),72868,30839,14954,16737,5781,9555,7328,4332,53,80
Wed Dec 12 2018 18:16:41 GMT+0530 (India Standard Time),92241,113391,2907,7854,2856,6652,4788,974,48,61
Wed Dec 12 2018 18:16:44 GMT+0530 (India Standard Time),89076,41276,25380,52727,28561,4818,3008,2491,16,43
Wed Dec 12 2018 18:16:46 GMT+0530 (India Standard Time),56953,15242,13694,7312,16795,6020,6276,1793,41,67
Wed Dec 12 2018 18:16:47 GMT+0530 (India Standard Time),47689,96633,62816,15066,14917,8877,6537,1642,40,66
Wed Dec 12 2018 18:16:48 GMT+0530 (India Standard Time),712435,62110,61930,23034,17254,10108,4750,1607,44,66
Wed Dec 12 2018 18:16:49 GMT+0530 (India Standard Time),1175633,156524,15051,26712,24508,9485,7840,2733,41,60
Wed Dec 12 2018 18:16:50 GMT+0530 (India Standard Time),56939,11564,19804,10458,9756,2747,532,363,34,69
Wed Dec 12 2018 18:16:51 GMT+0530 (India Standard Time),35444,36481,45636,24241,24240,6542,3806,936,35,77
Wed Dec 12 2018 18:16:52 GMT+0530 (India Standard Time),44973,80346,25401,25829,19151,10887,3369,1830,35,66
Wed Dec 12 2018 18:16:54 GMT+0530 (India Standard Time),374345,59823,19215,46715,12378,6881,3115,2548,35,61
Wed Dec 12 2018 18:16:55 GMT+0530 (India Standard Time),40164,25666,18150,25618,7488,9509,3825,2732,41,61
Wed Dec 12 2018 18:16:56 GMT+0530 (India Standard Time),16118,51060,53264,26992,11798,11058,3826,1098,41,70
Wed Dec 12 2018 18:16:57 GMT+0530 (India Standard Time),310315,155335,29696,31893,14304,10042,2454,2243,40,78
Wed Dec 12 2018 18:16:58 GMT+0530 (India Standard Time),52433,8636,3165,24498,12608,6093,2741,832,50,80
Wed Dec 12 2018 18:16:59 GMT+0530 (India Standard Time),122706,90970,71191,21451,18557,8159,2576,1113,40,77
Wed Dec 12 2018 18:17:00 GMT+0530 (India Standard Time),22338,50964,41105,16235,9053,11205,3099,1528,41,74
Wed Dec 12 2018 18:17:01 GMT+0530 (India Standard Time),84149,31062,37339,17325,15385,6307,6519,1585,47,84
Wed Dec 12 2018 18:17:02 GMT+0530 (India Standard Time),131282,106374,12485,10721,13210,8704,6456,2413,38,64
Wed Dec 12 2018 18:17:03 GMT+0530 (India Standard Time),46653,36299,12108,13527,4739,12122,5641,2792,51,60
Wed Dec 12 2018 18:17:04 GMT+0530 (India Standard Time),23283,11003,18480,7853,10579,9066,1486,3604,60,60
Wed Dec 12 2018 18:17:05 GMT+0530 (India Standard Time),44350,59965,21666,20560,13298,16646,3559,3736,67,51
Wed Dec 12 2018 18:17:06 GMT+0530 (India Standard Time),16487,17004,8506,20765,23916,7893,4025,893,77,66
Wed Dec 12 2018 18:17:07 GMT+0530 (India Standard Time),37951,56599,11867,11660,9024,12571,2099,1920,77,60
Wed Dec 12 2018 18:17:08 GMT+0530 (India Standard Time),11522,41101,3478,11391,11361,6253,2655,3494,69,47
Wed Dec 12 2018 18:17:09 GMT+0530 (India Standard Time),12708,32316,7785,7850,4612,12958,2420,997,74,40
Wed Dec 12 2018 18:17:10 GMT+0530 (India Standard Time),572790,60895,13305,4739,5027,2523,729,673,56,29
Wed Dec 12 2018 18:17:11 GMT+0530 (India Standard Time),11718,16851,49369,12482,8656,14674,3572,2382,57,50
Wed Dec 12 2018 18:17:12 GMT+0530 (India Standard Time),29770,11748,2475,1689,6772,5212,9207,3115,67,47
Wed Dec 12 2018 18:17:14 GMT+0530 (India Standard Time),262266,81523,6058,13746,10676,14069,2349,2346,88,40
Wed Dec 12 2018 18:17:15 GMT+0530 (India Standard Time),458071,103880,37007,6765,10430,11144,6792,5041,78,20
Wed Dec 12 2018 18:17:16 GMT+0530 (India Standard Time),6760,36130,14662,12105,7007,5719,4142,1658,66,35
Wed Dec 12 2018 18:17:17 GMT+0530 (India Standard Time),59327,5258,903,1172,1552,1707,392,789,60,35
Wed Dec 12 2018 18:17:18 GMT+0530 (India Standard Time),52462,56180,7040,2347,1966,1397,288,171,41,30
Wed Dec 12 2018 18:17:20 GMT+0530 (India Standard Time),27453,29325,589,9507,6060,6814,737,1295,48,40
Wed Dec 12 2018 18:17:21 GMT+0530 (India Standard Time),24833,4660,5858,4174,2516,2359,350,469,44,56
Wed Dec 12 2018 18:17:22 GMT+0530 (India Standard Time),15197,54696,91710,18085,19266,6124,2334,1618,51,83
Wed Dec 12 2018 18:17:24 GMT+0530 (India Standard Time),60640,26369,11775,24282,6034,10612,2961,1683,50,83
Wed Dec 12 2018 18:17:26 GMT+0530 (India Standard Time),49052,13493,118476,27977,26657,18408,4733,1944,54,78
Wed Dec 12 2018 18:17:27 GMT+0530 (India Standard Time),340339,106350,10539,16579,15496,9385,2350,4196,53,67
Wed Dec 12 2018 18:17:28 GMT+0530 (India Standard Time),626233,20386,46153,15276,38892,7910,16772,3727,48,67
Wed Dec 12 2018 18:17:29 GMT+0530 (India Standard Time),136798,46886,9677,18202,5492,5162,2066,1078,48,69
Wed Dec 12 2018 18:17:30 GMT+0530 (India Standard Time),51100,55042,40094,15313,7907,3546,1904,791,35,56
Wed Dec 12 2018 18:17:31 GMT+0530 (India Standard Time),89997,44933,8106,11886,6918,5988,2320,1908,38,61
Wed Dec 12 2018 18:17:32 GMT+0530 (India Standard Time),70478,32635,52560,1695,12062,8313,3283,4539,38,64
Wed Dec 12 2018 18:17:33 GMT+0530 (India Standard Time),85150,13740,9097,877,2621,2059,599,314,41,66
Wed Dec 12 2018 18:17:34 GMT+0530 (India Standard Time),14341,12487,2892,10371,1658,2814,1050,1532,51,66
Wed Dec 12 2018 18:17:35 GMT+0530 (India Standard Time),72593,25225,8634,14794,4073,2947,1539,917,48,77
Wed Dec 12 2018 18:17:36 GMT+0530 (India Standard Time),238258,43018,3541,5500,2962,5326,2160,463,48,54
Wed Dec 12 2018 18:17:37 GMT+0530 (India Standard Time),219782,115736,16073,42229,27791,20799,10154,7271,51,50
Wed Dec 12 2018 18:17:38 GMT+0530 (India Standard Time),112063,15624,1666,2637,3311,5044,3945,2310,60,34
Wed Dec 12 2018 18:17:39 GMT+0530 (India Standard Time),173257,73261,911,12045,3959,4251,2049,671,57,14
Wed Dec 12 2018 18:17:40 GMT+0530 (India Standard Time),278679,56976,21835,16548,16418,8627,1558,1688,56,26
Wed Dec 12 2018 18:17:41 GMT+0530 (India Standard Time),162137,37783,544,8520,463,2333,405,641,50,21
